ST_ID,LATITUDE,LONGITUDE,NAME,OSM_ID
985.0,52.5437,38.6822,Улусарка,1408829145.0
988.0,51.6401,39.2589,Придача,6439771789.0
990.0,51.5611,39.2461,Масловка,811632162.0
996.0,51.3518,39.2992,Колодезная,285939726.0
1003.0,51.3112,39.2223,Нововоронежская,644249191.0
1005.0,51.1565,39.422,Давыдовка,6439741625.0
1007.0,51.0575,39.4864,Бодеево,285938525.0
1010.0,52.4849,39.9518,Грязи-Волгоградские,872200071.0
1013.0,52.327018,40.2302956,Хворостянка,846169326.0
1014.0,52.2392,40.3421,Плавица,846169306.0
1016.0,52.1621,40.4699,Добринка,846169300.0
1019.0,52.09,40.786,Оборона,305412867.0
1026.0,51.8481,40.8113,Эртиль,1378794167.0
1027.0,52.0,41.1547,Токаревка,3053651829.0
1031.0,51.8385,41.4691,Жердевка,1396974981.0
1034.0,51.6843,41.5811,Терновка,846169313.0
1037.0,51.5836,41.7885,Народная,846169329.0
1041.0,51.4483,41.9288,Грибановка,846169330.0
1042.0,51.4167,41.9693,667 км,846169318.0
1044.0,51.3569,42.0915,Борисоглебск,10675347367.0
1045.0,51.3587,42.1717,686 км,846169303.0
1056.0,52.9196028,40.4810169,Каменка,5547054490.0
1057.0,52.9019,40.4516,Мичуринск-Воронежский,6439771791.0
1061.0,52.8253,40.4087,Никольское,3337101165.0
1067.0,52.6317,40.2533,Избердей,910666954.0
1070.0,52.5742555,40.1290973,Песковатка,2588328800.0
1073.0,52.8982,40.4969,Мичуринск-Уральский,4072002002.0
1075.0,52.9150205,40.5203189,Турмасово,910666971.0
1078.0,52.8876,40.7814,Никифоровка,909897352.0
1081.0,52.8186,41.1684,Селезни,909897299.0
1085.0,52.7186,41.4268,Тамбов-1,3285305365.0
1086.0,52.6473,41.4408,Бокино,3780963366.0
1089.0,52.4306,41.5129,Кариан-Строганово,6841432227.0
1091.0,52.3779,41.6744,Сампур,4969770497.0
1095.0,52.237041,41.9528925,Чакино,1853986216.0
1097.0,52.1366,42.0206,Ржакса,3780973320.0
1100.0,51.9655,42.2523,Обловка,1358151608.0
1101.0,52.6085,41.5224,Тамбов-2,7989384839.0
1103.0,52.6871,41.4693,Цна,5201463128.0
1107.0,52.7175,41.9537,Платоновка,4072002005.0
1111.0,52.648,42.3853,Иноковка,7160833386.0
1120.0,52.3199,42.4805,Инжавино,1275315283.0
1121.0,52.6353,42.8221,Тоновка,3319621482.0
1122.0,53.7116,39.3059,Топиллы,4770716374.0
1124.0,53.6211666,39.3700231,Спасское,2655975907.0
1125.0,53.5742,39.4415,Милославское,7140063024.0
1130.0,53.4136867,39.7173258,Троекурово,7140063023.0
1133.0,53.2521,39.9582,Раненбург,4072002006.0
1139.0,53.2507,40.2916,Богоявленск,4072001997.0
1147.0,53.0727,40.3839,Хоботово,910666908.0
1151.0,53.4757,40.2127,Александро-Невская,910666953.0
1156.0,53.3079,40.6873,Старое Юрьево,2081872345.0
1168.0,53.2324,41.3625,Челновая,1240806142.0
1169.0,51.2395,42.4744,Кардаил,10175402598.0
1173.0,51.3435,42.6845,Байчурово,8954240317.0
1178.0,51.4218,42.9136,Родничок,2089705979.0
1181.0,51.5351,43.16,Балашов-I,910773051.0
1184.0,51.5454,43.1284,Балашов-Пассажирский,2450700508.0
